T X1 X2 U1 U2 Vx Vsup
1.080000000000000737e+00 -1.929385400075132352e-04 -5.521538233990556412e-03 -3.293278909104565416e-02 -9.994575685854226732e-01 1.526230487481989239e-05 3.457645186224896916e-01
1.090000000000000746e+00 1.467212053168788890e-04 4.480759216052216005e-03 3.492158344879087162e-02 9.993900554885609688e-01 1.004936513216325376e-05 3.437257712339811810e-01
1.100000000000000755e+00 -1.909741753880839438e-04 -5.505881807825826861e-03 -3.272717925290337393e-02 -9.994643223938252108e-01 1.517560280870627814e-05 3.417232712480715584e-01
1.110000000000000764e+00 1.464151594363867818e-04 4.496254982220701350e-03 3.466463805973583889e-02 9.993990008340950526e-01 1.011887313202863157e-05 3.397563048051479573e-01
1.120000000000000773e+00 -1.891782229037496815e-04 -5.490690188498749923e-03 -3.254655091653846366e-02 -9.994702206786538756e-01 1.509173357304872937e-05 3.378241738221506862e-01
1.130000000000000782e+00 1.461943762357736996e-04 4.511284049139521399e-03 3.443392893570539071e-02 9.994069764305484327e-01 1.018652828383182109e-05 3.359261956055280551e-01
1.140000000000000790e+00 -1.875401709398523170e-04 -5.475949721579109752e-03 -3.238937525006124751e-02 -9.994753265443379053e-01 1.501059833448923946e-05 3.340617024744496066e-01
1.150000000000000799e+00 1.460540828625705458e-04 4.525860519867399602e-03 3.422790419661551203e-02 9.994140536205737835e-01 1.025237262020761760e-05 3.322300413939948127e-01
1.160000000000000808e+00 -1.860502107636619984e-04 -5.461647134144299864e-03 -3.225421771113640146e-02 -9.994796973625039715e-01 1.493210204941592352e-05 3.304305736180367381e-01
1.170000000000000817e+00 1.459897417769441910e-04 4.539998062665028498e-03 3.404510624636555849e-02 9.994202973427513959e-01 1.031644770685315537e-05 3.286626743415528296e-01
1.180000000000000826e+00 -1.846991864301931433e-04 -5.447769526400862011e-03 -3.213973207165903706e-02 -9.994833853658408040e-01 1.485615330112492387e-05 3.269257323621013178e-01
1.190000000000000835e+00 1.459970413125066162e-04 4.553709925296014691e-03 3.388416582736986787e-02 9.994257667811968782e-01 1.037879460990571950e-05 3.252191497502073814e-01
1.200000000000000844e+00 -1.834785485091617230e-04 -5.434304363196287325e-03 -3.204465484174722628e-02 -9.994864381751628057e-01 1.478266414480861693e-05 3.235423415284134352e-01
1.210000000000000853e+00 1.460718864125611408e-04 4.567008948763223372e-03 3.374379647246518454e-02 9.994305159437671948e-01 1.043945386704174285e-05 3.218947353587530702e-01
1.220000000000000862e+00 -1.823803113189260950e-04 -5.421239465468999721e-03 -3.196780006397035440e-02 -9.994888992675556860e-01 1.471154995995769627e-05 3.202757712384152744e-01
1.230000000000000870e+00 1.462103895633261211e-04 4.579907580511949523e-03 3.362278932520082475e-02 9.994345941771244357e-01 1.049846546202354054e-05 3.186849012033722839e-01
1.240000000000000879e+00 -1.813970133812590980e-04 -5.408563001677247663e-03 -3.190805445111179195e-02 -9.994908083925259090e-01 1.464272930978782018e-05 3.171215890397521830e-01
1.250000000000000888e+00 1.464088619417279512e-04 4.592417887128919483e-03 3.352000830189473535e-02 9.994380466259231710e-01 1.055586880243836086e-05 3.155853100027410929e-01
1.260000000000000897e+00 -1.805216808360912283e-04 -5.396263479241492078e-03 -3.186437284292496092e-02 -9.994922019422297632e-01 1.457612380732369083e-05 3.140755505428076133e-01
1.270000000000000906e+00 1.466638047918589162e-04 4.604551566563924378e-03 3.343438557099319419e-02 9.994409146425266011e-01 1.061170270039115688e-05 3.125918080390491238e-01
1.280000000000000915e+00 -1.797477935782215946e-04 -5.384329736029471077e-03 -3.183577395930035914e-02 -9.994931132811332164e-01 1.451165798779371696e-05 3.111335905394617685e-01
1.290000000000000924e+00 1.469719010411260694e-04 4.616319959898745363e-03 3.336491732722790537e-02 9.994432361528828856e-01 1.066600535592759772e-05 3.097004165079449423e-01
1.300000000000000933e+00 -1.790692538986816908e-04 -5.372750931908578872e-03 -3.182133642904365345e-02 -9.994935730398019080e-01 1.444925918700816641e-05 3.082918145778562047e-01
1.310000000000000941e+00 1.473300071644214953e-04 4.627734062686288119e-03 3.331065983984289602e-02 9.994450459835370060e-01 1.071881434297900186e-05 3.069073233119338218e-01
1.320000000000000950e+00 -1.784803574321688630e-04 -5.361516540386131874e-03 -3.182019507508666856e-02 -9.994936093769601904e-01 1.438885742541159579e-05 3.055464909684166841e-01
1.330000000000000959e+00 1.477351453022843317e-04 4.638804535881116235e-03 3.327072575578281233e-02 9.994463761541604319e-01 1.077016659763435280e-05 3.042088752731866852e-01
1.340000000000000968e+00 -1.779757662289526039e-04 -5.350616340354726920e-03 -3.183153743843213784e-02 -9.994932482134661900e-01 1.433038529751789836e-05 3.028940431977744652e-01
1.350000000000000977e+00 1.481844956369573552e-04 4.649541716381016231e-03 3.324428064021008739e-02 9.994472561394698307e-01 1.082009840855725293e-05 3.016015707430630410e-01
1.360000000000000986e+00 -1.775504837850671886e-04 -5.340040407956836606e-03 -3.185460052448165630e-02 -9.994925134414092138e-01 1.427377786645206614e-05 3.003310427285370010e-01
1.370000000000000995e+00 1.486753890284502641e-04 4.659955627197943234e-03 3.323053973806555650e-02 9.994477131039505302e-01 1.086864540937826996e-05 2.990820525869248292e-01
1.380000000000001004e+00 -1.771998318785968866e-04 -5.329779108580266073e-03 -3.188866775662986541e-02 -9.994914271111619009e-01 1.421897256333822898e-05 2.978542021640879778e-01
1.390000000000001013e+00 1.492052999111592943e-04 4.670055987275326809e-03 3.322876494161740302e-02 9.994477721124074288e-01 1.091584257290385405e-05 2.966471015240125797e-01
1.400000000000001021e+00 -1.769194290725859648e-04 -5.319823088993883876e-03 -3.193306612313571297e-02 -9.994900095988831223e-01 1.416590909128789911e-05 2.954603687587668559e-01
1.410000000000001030e+00 1.497718394502466055e-04 4.679852220967629581e-03 3.323826195006966688e-02 9.994474563190095528e-01 1.096172420699398252e-05 2.942936298032879372e-01
1.420000000000001039e+00 -1.767051707566737575e-04 -5.310163269631063693e-03 -3.198716350431413113e-02 -9.994882797566704280e-01 1.411452933375550736e-05 2.931465182548678161e-01
1.430000000000001048e+00 1.503727489558305845e-04 4.689353467197023527e-03 3.325837760833241785e-02 9.994467871371950363e-01 1.100632395197063891e-05 2.920186751972107531e-01
1.440000000000001057e+00 -1.765532106100932235e-04 -5.300790837026707163e-03 -3.205036616803993987e-02 -9.994862550473091467e-01 1.406477726704151416e-05 2.909097490289387355e-01
1.450000000000001066e+00 1.510058935520413952e-04 4.698568588301000118e-03 3.328849741300098780e-02 9.994457843925226292e-01 1.104967477942815181e-05 2.898193952964241982e-01
1.460000000000001075e+00 -1.764599433782716720e-04 -5.291697236412203770e-03 -3.212211642242387977e-02 -9.994839516653302169e-01 1.401659887673480821e-05 2.887472765308333744e-01
1.470000000000001084e+00 1.516692560971664777e-04 4.707506178584001943e-03 3.332804317445983017e-02 9.994444664603238104e-01 1.109180899232581107e-05 2.876930620892677593e-01
1.480000000000001092e+00 -1.764219888640259932e-04 -5.282874164471561274e-03 -3.220189041532111468e-02 -9.994813846458969753e-01 1.396994207789791837e-05 2.866564279998902731e-01
1.490000000000001101e+00 1.523609313503979925e-04 4.716174572585249240e-03 3.337647082482350647e-02 9.994428503897957450e-01 1.113275822625080924e-05 2.856370568109335983e-01
1.500000000000001110e+00 -1.764361770423292317e-04 -5.274313562260795306e-03 -3.228919607106642276e-02 -9.994785679628573893e-01 1.392475663880873743e-05 2.846346374434808868e-01
1.510000000000001119e+00 1.530791203801097188e-04 4.724581853074225242e-03 3.343326836216030384e-02 9.994409520159875937e-01 1.117255345174731451e-05 2.836488650479229157e-01
1.520000000000001128e+00 -1.764995342149285789e-04 -5.266007608291841877e-03 -3.238357115550794668e-02 -9.994755146171495630e-01 1.388099410808282539e-05 2.826794408639883849e-01
